,5c58799afaea1331935fda2c,5c587a02faea1331f3c8f128,5c587a19faea1331fba7adef,5c587a34faea133204da79f8,5c587a42faea133204da7a08,5c587a49faea133204da7a12,5c587a4efaea133204da7a19,5c587a5afaea133204da7a28,5c587a64faea133204da7a35,5c587a6bfaea133204da7a3f,5c587a78faea133204da7a4f,5c587a84faea133204da7a5f,5c587a8ffaea133204da7a6d,5c587a94faea133204da7a75,5c587a9efaea133204da7a82,5c587aa5faea133204da7a8b,5c587aa9faea133204da7a91,5c587ab8faea133204da7aa5,5c587abffaea133204da7aae,5c587acdfaea133204da7abf,5c587adcfaea133204da7ad0,5c587ae8faea133204da7ade,5c587aeefaea133204da7ae5,5c595355faea134a77ea150e
5c559fccfaea1375ab89e71a,,,,,,,,,,,,,,,,,-0.5598805990399103,,,,,,,
5c559fcdfaea1375ab89e71d,,,,,,,,,,,,,,,,,,,,,0.10189454846411028,,,
5c559fd3faea1375ab89e735,,,,,,,,,,,,,,,,,,,,,,,,1.1364365309195046
5c559fd4faea1375ab89e736,,,,,,,,,,,-0.29526210347528536,,,,,,,,,,,,,
5c559fd4faea1375ab89e738,,,,,,,0.3003729560134496,,,,,,,,,,,,,,,,,
5c559fd6faea1375ab89e740,,,,,,,,,,0.5506826421131561,,,,,,,,,,,,,,
5c559fd7faea1375ab89e742,,,,,,,,,,,,,-0.35061138688785976,,,,,,,0.2836792801981711,,,,
5c559fdbfaea1375ab89e74e,,,,,0.1873354467303039,,,,,,,,,,,,,,,,,,,
5c559fdbfaea1375ab89e750,,,,,,,,,,,,,,,,,-0.33132309911373614,,,,,,,
5c559fdcfaea1375ab89e752,,,,,,,,-0.7978850503181145,,,,,,,,,,,,,,,,
5c559fdefaea1375ab89e758,,,,,,,,,,,,,,,,,,,,,,,0.29044332978677634,
5c559fdffaea1375ab89e75c,,,,,,,,,,,,,,,,,,0.2723638875991674,,,,,,
5c559fe1faea1375ab89e762,,,,,,,,,,,,,,,,,,,,,,,,-1.1074624893149076
5c559fe3faea1375ab89e76b,,,,-0.4807750117340581,,,,,,,,,,,,,,,,,,,,
5c559fe4faea1375ab89e770,,,,,,,,,,,0.5210539729613517,,,,,,,,,,,,,
5c559fe5faea1375ab89e774,,,0.047326644871150236,,,,,,,,,,,,,,,,,,,,,
5c559fe9faea1375ab89e780,,-0.5090065362701268,,,,,,,,,,,,,,,,,,,,,,
5c559feafaea1375ab89e786,,,,,,,,,,,,,,,,,1.1215083680816238,,,,,,,
5c559febfaea1375ab89e788,,,,,,,,,,,,,,,,0.14303270530919843,,,,,,,,
5c559febfaea1375ab89e789,,,,,,,,,,,,,,,0.474184846889683,,,,,,,,,
5c559fedfaea1375ab89e78f,,,,,,,,,,,,,,,,,,,,,,,,0.030219234420107988
5c559fedfaea1375ab89e790,,,,,,,,-0.13566055952803424,,,,,,,,,,,,,,,,
5c559ff4faea1375ab89e798,,,,,,0.03956682726543548,,,,,,,,,,,,,,,,,,
5c559ff5faea1375ab89e79c,,,,,,,,,,,,,,,,,,,,,0.05268552492505929,,,
